,origin,Unnamed: 0,text,author.userName,misinformation,stance,isUSRelated,notes,opinion_label,true_label,claimbuster_score
453,T2,1146336,"The MPP (Migrant Protection Policy) has effectively ended the ""catch and release"" progams. It administratively ends the Other-than-Mexican #OTM loophole. 5 countries have agreements with the USA.

BLOG  https://t.co/jH4A59qErN

#quikTake qt-faqs-056 #BorderObserver",borderObserver,T,A,1,,0,1.0,0.77415179
454,T3,1566740,"#LocalNews
1,000 Wild Cats Released In Chicago's Alleys To Combat Rats
https://t.co/r4aU4mzI86
17 May 2020

#QUOTE All felines were spayed, neutered and vaccinated.

#MAGA #sanctuaryCity qt-sanc-cites-080 #BorderObserver https://t.co/4JWRB2evqQ",borderObserver,NR,NR,NR,NR,0,,
455,T3,1534438,"Supreme Court ruling rejecting Trump on #DACA 'a very minor decision,' Dershowitz says
https://t.co/rSrLFx3AD5
18 Jun 2020

#QUOTE 'The president didn't dot the i's and cross the t's' (Dershowitz said)

#ImmigrationLaw #Immigration #SCOTUS
qt-scotus-030 by #BorderObserver",borderObserver,T,U,1,,0,1.0,0.5231510899
456,T2,1467803,"Border wall (portrait): looking uphill. #USBP truck can be seen in the middle left of the picture

BLOG https://t.co/lGGYQnr5Zu

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-307 by #borderObserver https://t.co/mYjnapXD8A",borderObserver,T,A,1,,0,1.0,0.2838187919
457,T4,352810,"#RightBias
Biden planning 'amnesty' for millions of illegal immigrants
https://t.co/YPcnOZgNAy
28 Mar 2024

National Border Patrol Council President Brandon Judd told The New York Post, ""It's just a bait and switch.""

#FrontPage #BorderObserver qt-fp-8541 https://t.co/QvGHSITLU0",borderObserver,E,A,1,,0,0.0,
458,T2,1338875,"Previously Deported Man Who Raped Child Shows Sanctuary City Is 'Direct Threat,' U.S. Attorney Says
https://t.co/l39s2ZMklS
28 Feb 2019

... undocumented immigrant (raped) a 5-year-old girl ...

#sanctuaryCity qt-sanc-cites-025 #borderObserver https://t.co/NtFfdRDBxl",borderObserver,T,A,1,,0,1.0,0.7585913592
459,T3,1552168,"#RightBias
Flagship REI In #Portland Announces Impending Closure, Citing 'Crime' And 'Safety' Issues
https://t.co/ydnfd4lfD0
17 Apr 2023

ALSO
Nike temporarily closed
Walmart close final 2 locations
Starbucks closing 2 locations

#sanctuaryCity qt-sanc-cites-239 #BorderObserver https://t.co/3i5HUVZ8zg",borderObserver,T,A,1,,0,1.0,
460,T4,352937,"#RightBias
Video: Illegal immigrant mocks American taxpayers
https://t.co/9yqbsroaw3
28 Mar 2024

Waving stacks of $100 bills in the videos, the Venezuelan national boasted that he had enough money to support his wife and baby for at least..

#FrontPage #BorderObserver qt-fp-8540 https://t.co/1J0YONRA7d",borderObserver,T,A,1,,0,1.0,
461,T4,642475,"#RightBias
From DACA to deportation to murder: Michigan the latest state hit by immigration enforcement lapse
https://t.co/masyrVrFVv
26 Mar 2024

.. Kent County records show the suspect, Brandon Ortiz-Vite, a Mexican citizen, was booked ..

#FrontPage #BorderObserver qt-fp-8528",borderObserver,T,A,1,,0,1.0,
462,T4,121872,"#RegionalNews #NewHampshire
Immigrant advocates fight anti-sanctuary city bill
https://t.co/N9oCmM9ThH
17 Apr 2024

Opponents got (a final chance) against the state Senate-endorsed ban on sanctuary city policies in New Hampshire.

#FrontPage #BorderObserver qt-fp-8636",borderObserver,T,P,1,,0,1.0,
463,T2,1160217,"Night time with #Migrants in El Paso from March 18, 2019

#USBP agent on the cellphone

BLOG https://t.co/KGKU1QB0Ga

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-migrants-040 by #borderObserver https://t.co/iyjPTPQM5F",borderObserver,T,A,1,,0,1.0,0.2416850962
464,T2,1190942,"Mexican Cities crossed by migrant's 'New Route' to USA

Mexicali
Caborca
Hermosillo
Sufragio
Guliacan
Mazatlan
Tepic
Guadalajara
Irapuato

Starting from the State of Mexico, Lecheria station
BLOG/VIDEO https://t.co/guq0vkyCVo
#LaBestia
#QuikTake qt-troute-002 by #borderObserver https://t.co/sd0pN1bZYi",borderObserver,T,A,1,,0,1.0,0.4472811586
465,T2,1165190,"In Aug of 2009, #Youtube's #Senorlobo16 was in Vera Cruz -- obviously to see the infamous group known as ""Las Patronas.""

BLOG &amp; VIDEO 

#Migrant #TheRoutes
#QuikTake qt-troute-027 by #borderObserver https://t.co/1oWa8Nl1bx",borderObserver,T,P,1,,0,1.0,0.477631049
466,T2,1369470,"Agents conduct cold weather rescue
https://t.co/yPgEHIEq1u
5 Jan 2022

Agents noticed that some undocumented migrants were crying and distraught upon entering the vehicle, with some shivering from the cold. #LockedIn

#CBP_enforcement qt-cbp-media-3095 #borderObserver https://t.co/RaFNeHy2Cj",borderObserver,T,U,1,,0,1.0,0.7530413961
467,T3,1567359,"#Opinion
Liberal Cities, Radical Mayhem
https://t.co/KuxxMRgufL
The Editorial Board - 2 June 2020

The ""broken-windows"" school of policing says that you can help maintain public order by taking care of ..

#MAGA #sanctuaryCity #sanctuaryCities qt-sanc-cites-070 #borderObserver",borderObserver,O,A,1,,1,,
468,T3,1552222,"#QUOTE To add insult to injury, not only did #legal immigrants subsidize #DACA, they also had to (waited longer), as #DACA applications were prioritized(.)

LNK https://t.co/PG2b2wnWko

8 Oct 2018

#Immigration qt-daca-051 #borderObserver",borderObserver,T,A,1,,0,1.0,
469,T2,1442994,"#NII Non-Intrusive Inspection

#RVSS Remote Video Surveillance System

#AST Autonomous Surveillance Towers

#BORSTAR Border Patrol Search, Trauma, and Rescue

#AMO Air and Marine Operations

#sUAS small Unmanned Aircraft System

#quikTake qt-faqs-063 #BorderObserver",borderObserver,T,U,1,,0,1.0,
470,T2,1339216,"#RightBias
Walgreens Closes 5 More San Francisco Locations Amid Ongoing Retail Theft
https://t.co/cs4MyME19u
14 Oct 2021

.. shutting down five additional stores because of the continued retail theft that is plaguing the city.

#sanctuaryCity qt-sanc-cites-107 #BorderObserver https://t.co/0ENtXcVgxC",borderObserver,E,A,1,,0,0.0,
471,T3,1551024,"#NancyPelosi Shout-down Inspite of #protectDreamers Banner
https://t.co/9KgKbYLiVH
19 Sep 2017

In the irony of ironies, Minority Leader Nancy Pelosi was shouted down and had to leave a morning conference.

#DACA qt-daca-066 #BorderObserver https://t.co/wjg2XN5Tgz",borderObserver,O,U,0,,1,,
472,T2,1453145,"#Operation #FaithfulPatriot Oct 2018 - Jun 2019

The project involved moving DOD forces to the southwestern border and organizing at bases like Davis-Monthan Air Force Base, Az

BLOG https://t.co/Z82OnvqNON

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-400 by #borderObserver https://t.co/K8GkMaCH4f",borderObserver,T,A,1,,0,1.0,
473,T2,1447726,"#FAKENEWS
Is it possible to scale Trump's southern border wall? These KY climbers say it is.
Lexington Herald Leader - 11 Oct 2019

VIDEO https://t.co/2oxDB1VU0w

BLOG https://t.co/m1NAKIWF6Q

#BuildTheWall #FinishTheWall
#QuikTake qt-wall-vid-154 by #borderObserver https://t.co/xxGBfUcg1T",borderObserver,F,A,1,,0,0.0,
474,T2,1339703,"#RightBias
Couple attacked with machete, rocks, and 5-foot wooden pole while retrieving stolen goods from #Seattle homeless camp. As they tried to get away, they hit and killed a man.
https://t.co/EFR51MpYza
05 Aug 2021

#MAGA #sanctuaryCity qt-sanc-cites-094 #BorderObserver https://t.co/rgTXEAfpWe",borderObserver,T,A,1,,0,1.0,
475,T3,1548180,"500 Ex-DACA Criminals &amp; Gang Members Still At Large: Will They Get Amnesty Too?
By Jessica M. Vaughan - 22 Jan 2018

#DACA status terminated for 2,127 for criminal and/or gang activity as of Nov 2017

https://t.co/YIbkkQqDBI

#Immigration
#quikTake qt-daca-027 by #borderObserver",borderObserver,E,A,1,,0,0.0,0.749404239
476,T2,1146240,"MPP administratively ends ""catch and release"" programs

Countries with MPP-related (Migrant Protection Policy/Return-to-Mexico) agreements include

Mexico
Guatemala
Honduras
El Salvador
Brazil

BLOG https://t.co/jH4A59qErN

#quikTake qt-faqs-057 #BorderObserver",borderObserver,T,U,1,,0,1.0,0.7950309641
477,T3,1551035,"Some #Immigrant Stories Don't Age Well
https://t.co/iIn5XYiKwK
10 Apr 2017

Roberto Beristain, the person in this story, was deported Tuesday April 4, 2017 via El Paso, Tx. Mr Beristan and his wife own a resturant in Granger, Indiana, known ..

#DACA qt-daca-063 #BorderObserver https://t.co/CljKy4VDmb",borderObserver,T,U,1,,0,1.0,0.3577142697
478,T2,1467319,"Side by side the difference is clear. On the left is the old corrugated steel ""landing pad"" wall. On the right is the new see-through ""bollard"" wall #theWall provides improved saftey for the US Border Patrol

#BuildTheWall #FinishTheWall

#QuikTake qt-twall-011 by #borderObserver https://t.co/WuwT0ZFiI8",borderObserver,T,A,1,,0,1.0,0.2816052499
479,T4,182056,"#POE Port of Entry
#LPR Lawful Permanent Resident
#FY Fiscal Year
#UAC UnAccompanied Children
#FMU FaMily Units
#OTM Other Than Mexican
#INM Instituto Nacional de Migración (Mexico's Immigration)
#winning winning

#BorderObserver qt-faqs-049",borderObserver,T,U,1,uncertain,0,1.0,
480,T3,1557307,"Coast Guard repatriates 198 migrants to Haiti
https://t.co/chrwVuPpgt
11 Mar 2022

#USCG, #CBP, and partners rescued 356 Haitians from a vessel approximately 200 yards off Ocean Reef in Key Largo, FL

USCGC Venturous repatriated the Haitians

#USCG qt-uscg-082 #BorderObserver https://t.co/PbPRGABMcU",borderObserver,T,U,1,,0,1.0,0.726897746
481,T3,1566663,"Here's Why San Francisco is Experiencing a Shoplifting Surge That's Putting Some Stores Out of Business
https://t.co/YdpMlRYF50
25 May 2021

.. downgraded the theft of property less than $950 in value from (felony to misdemeanor)

#sanctuaryCity qt-sanc-cites-083 #BorderObserver https://t.co/16tPQnomtw",borderObserver,T,U,1,,0,1.0,0.8475634785
482,T3,1569120,"Court Rules Trump Admin Can Withhold Federal Grants From Sanctuary Cities
https://t.co/IEZ9e4oZ6D
2020 Feb 26

The 7 states involved: NY, CT, NJ, WA, MA, VA and RI

#sanctuaryCity qt-sanc-cites-038 #borderObserver",borderObserver,T,A,1,,0,1.0,0.6412189157
483,T4,372638,"The wrangling over ""public charge"" on this issues shows why the APA needs to go

Senate Votes to Cancel Biden Immigrant-Welfare Rule
https://t.co/rA5hCZUw8m
By Elizabeth Jacobs/25 May 2023

The U.S. Senate passed a resolution, 50-47

#BorderObserver qt-faqs-201",borderObserver,E,A,1,,0,0.0,0.6707674323
484,T2,1356522,"#Migrants in El Paso at night

#USBP agent is reviewing his group

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-migrants-039 by #borderObserver https://t.co/e9LgglcOAs",borderObserver,E,A,1,,0,0.0,
485,T3,1566319,"#RightBias
Chicago's Lori Lightfoot Declares Emergency as City Hits 'Breaking Point' from Illegal Immigration
https://t.co/eWgWzAiKo1
9 May 2023

#FrontPage qt-fp-2716 #BorderObserver https://t.co/GEctys8dCA",borderObserver,T,A,1,,0,1.0,
486,T3,1531673,"#RightBias
#NYC has 'fully exhausted' traditional options in managing migrant crisis, official says
https://t.co/xkz7Mae3Dg
9 May 2023

#FrontPage qt-fp-2737 #BorderObserver https://t.co/XdX1Q24nsN",borderObserver,T,U,1,,0,1.0,
487,T3,1529540,"#LocalNews #ElPaso #Texas
Aerial footage shows migrants waiting, lining up along border
https://t.co/SBraZfS5YY
9 May 2023

#FrontPage qt-fp-2685 #BorderObserver https://t.co/8HZMbFjQKz",borderObserver,T,U,1,,0,1.0,
488,T2,1349499,"#BorderObserver #FAQ

What is the best way to deport illegal immigrants?

There are 2 forms of deportation.

1) forced removal
2) voluntary return

Return is preferred - less money.

#quikTake qt-faqs-044 #BorderObserver",borderObserver,T,A,1,Ximeng coded the stance as Unsure,0,1.0,
489,T2,1477376,"Border wall: US side with barb wire along the fence, looking uphill.

BLOG  https://t.co/lGGYQnr5Zu

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-305 by #borderObserver https://t.co/c8iPn2fxpb",borderObserver,T,U,1,Mia coded the stance as Anti-immigration,0,1.0,0.4315092489
490,T3,1569400,"Previously Deported Man Who Raped Child Shows Sanctuary City Is 'Direct Threat,' U.S. Attorney Says
https://t.co/l39s2ZMklS
28 Feb 2019

... undocumented immigrant (raped) a 5-year-old girl ...

#sanctuaryCity qt-sanc-cites-025 #borderObserver https://t.co/Gcrke0yrtg",borderObserver,T,A,1,,0,1.0,0.7585913592
491,T2,1484953,"#immigration qt-faqs-088 #BorderObserver posted 4 Mar 2021
https://t.co/O58DgMsPph",borderObserver,O,A,1,,1,,
492,T3,1565986,"#RightBias
'The Cops Started It': Head of Minneapolis Democrat Party Praises Rioters Who Burned Down Police Station
https://t.co/ADVOjQXqih
14 Aug 2021

.. at least $550 million worth of damage to over 1,500 property locations ..

#sanctuaryCity qt-sanc-cites-095 #BorderObserver https://t.co/6L0HWrUQMN",borderObserver,NR,NR,NR,NR,0,,
493,T2,1431523,"Tourists heading to border wall get stuck in flood
ABC 10 News - Nov 21, 2019

A father and son (.) became stuck in a flooded stretch of the Tijuana River Valley ..

VIDEO https://t.co/h8qh2pEEsJ

#BuildTheWall #FinishTheWall
#QuikTake qt-wall-vid-158 by #borderObserver https://t.co/sTjr01H2lG",borderObserver,T,U,1,,0,1.0,0.7054019508
494,T3,1551164,"#RightBias
Nancy Pelosi Interrupted By Pro-Amnesty Protesters At Pro-DACA Event in San Francisco (REACTION)
https://t.co/cdolq44eXA
By Anthony Brian Logan - 18 Sep 2017

10M2S

They came in at least a couple of dozen or more in number and ..

#DACA qt-daca-061 #BorderObserver https://t.co/m29oay0Ur6",borderObserver,T,P,1,,0,1.0,
495,T2,1358480,"#Migrants in El Paso

Surrenders on March 18, 2019 

BLOG https://t.co/KGKU1QB0Ga

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-migrants-033 by #borderObserver https://t.co/8nRm9RymyG",borderObserver,T,A,1,,0,1.0,
496,T3,1549984,"Supreme Court Sides With Trump Administration In #Asylum Cases
https://t.co/qM0nKKnbsm
25 Jun 2020

#QUOTE The vote was 7-2, but Alito's opinion was joined only by the court's four other conservatives ..

#ImmigrationLaw #Immigration

#QuikTake qt-scotus-035 #BorderObserver",borderObserver,T,U,1,,0,1.0,0.665697125
497,T3,1551959,"#ParodyBias
Gavin Newsom Does NOT Want You to See San Francisco Drug Hell
https://t.co/o8UIp2p0l9
By DUmmie FUnnies/22 Apr 2023

Or S.F. Mayor London Bree

#MAGA #sanctuaryCity qt-sanc-cites-238 #BorderObserver https://t.co/dNxZdn7gtc",borderObserver,T,A,1,,0,1.0,
498,T3,1575144,"#RightBias
Crenshaw Stalls on GOP Border Bill: 'Doesn't Do a Thing to Target Drug Cartels'
https://t.co/sVpjpmbJXJ
9 May 2023

#FrontPage qt-fp-2718 #BorderObserver https://t.co/wrAtJ8vOlQ",borderObserver,T,U,1,,0,1.0,
499,T2,1339305,"#RightBias
NYC drug users shoot up in broad daylight in Midtown
https://t.co/0w7SKKN8W0
25 Sep 2021

The Garment District is Gotham's newest shooting gallery, a disturbing heroin hotspot of addicts booting up in broad daylight.

#sanctuaryCity qt-sanc-cites-102 #BorderObserver https://t.co/ZoUHIRAyIk",borderObserver,NR,NR,NR,NR,0,,
500,T4,153968,"#Texas #TX Counties along the US-MX Border - West to East

El Paso
Hudspeth
Presideo
Brewster
Terrell
Val Verde &lt;= Del Rio
Kinney
Maverick
Dimmit
Webb &lt;= Laredo
Zapata
Starr
Hidalgo
Cameron &lt;= Brownsville

qt-faqs-107 #BorderObserver",borderObserver,NR,NR,NR,,0,,
501,T2,1182345,"Migrants riding the back of 'La Bestia'

BLOG &amp; VIDEO https://t.co/guq0vkyCVo

#TheRoutes #LaBestia #LosReporteros
#QuikTake qt-troute-007 by #borderObserver https://t.co/nnCdMWoJma",borderObserver,T,A,1,,0,1.0,0.3910343679
502,T3,1553252,"No One Will Say ""You Don't Look 30"" - A DREAM Scheme Note
10 Aug 2012

#DACA #FRAUD

#QUOTE The entire review, unless a staff member senses fraud, will be a mail-order, papers-only process(.)

LNK https://t.co/YlNpeEQxA5

#Immigration
#quikTake qt-daca-046 by #borderObserver",borderObserver,NR,NR,NR,NR,0,,0.14959901
503,T3,1561598,"Philly Mayor Calls On Residents To Give Up Their Rights If They Back The Blue
https://t.co/QCcC6gYP1Q
22 Feb 2023

Exiting sanctuary city Mayor Jim Kenney of Philadelphia, Pennsylvania, wants Philly citizens to surrender their #2A right.

#MAGA qt-maga-4224 #BorderObserver https://t.co/PWCRIQDLF0",borderObserver,F,U,1,Theodore coded the stance as Anti-immigration,0,0.0,0.6437420592
504,T3,1552050,"@cindyiswarrior Philly is a ""sanctuary city"" we track.",borderObserver,T,A,1,Mia coded the stance as Unsure,0,1.0,0.4010831664
505,T2,1169281,"Migrant round-up in El Paso, Texas along the Rio Grande River.
You can see the reflection of the red 'X' in Ciudad Juarez in the river.

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-migrants-019 by #borderObserver https://t.co/Cja6NxfTcK",borderObserver,T,A,1,,0,1.0,0.3185463291
506,T3,1580644,"#ValleyCentral
Mission PD have a plan to prevent migrant attacks
https://t.co/98SqcE2ao8
8 May 2023

#FrontPage qt-fp-2615 #BorderObserver https://t.co/aFrNUxr4hi",borderObserver,T,P,1,,0,1.0,
507,T4,208758,"#LocalNews #MAINE
Penobscot County Sheriff Troy Morton Tells Fox News' Laura Ingraham to Hide The Fact That 270+ Illegal Marijuana Grows in Maine Are Run by Chinese Organized Crime [VIDEO]
https://t.co/YRoOM81dZa
30 Nov 2023

#MAGA qt-maga-6035 #BorderObserver",borderObserver,E,A,1,,0,0.0,
508,T2,1369789,"Federal agents have arrested several migrants who were found smuggled inside a railcar near Hebbronville, Texas. @CBP_Laredo #border
https://t.co/audcPG4iM7",BorderReportcom,T,U,1,,0,1.0,0.8268120854
509,T4,477204,"A company that provides services for immigrants in federal detention was ordered Tuesday to pay restitution and penalties in a lawsuit alleging it used deceptive and abusive tactics.
https://t.co/iWVQ9Ay9Yy",BorderReportcom,T,U,1,,0,1.0,0.8051695065
510,T2,1258302,"Federal, state and local authorities have encountered several migrant stash houses this month in the El Paso area, including a pair of apartments holding 30 people.
https://t.co/SkBG5GXRev",BorderReportcom,T,U,1,,0,1.0,0.8648919144
511,T4,765756,"El Paso County officials are celebrating a milestone when it comes to dealing with the years-long humanitarian migrant crisis. ...
https://t.co/oJJSEwz9Pe",BorderReportcom,T,U,1,,0,1.0,0.7464849471
512,T2,1127756,"The great northward migrant surge of 2021 not only impacted the United States but Mexico as well.
https://t.co/OkwjYU9ihq",BorderReportcom,T,U,1,,0,1.0,0.7254546254
513,T2,1258679,"The truck was packed with as many as 250 migrants, and survivors said that speed and weight of the human cargo may have played a role in the crash.
https://t.co/PfVEbAmLwz",BorderReportcom,T,U,1,,0,1.0,0.8746609269
514,T4,691065,"Calling it a “wake-up call” for colleagues using migrants as election campaign props, House Democrats have filed a resolution blaming the ongoing border humanitarian crisis on Republican inaction on immigration reform.
https://t.co/27UgHf8s58",BorderReportcom,O,U,1,,1,,0.59824892
515,T3,1492563,"In El Paso, Sacred Heart Church and the Opportunity Center for the Homeless are seeing significantly fewer people at and around their shelters after numerous migrants decided to turn themselves in to be processed.
https://t.co/3MT8iJp668",BorderReportcom,T,U,1,,0,1.0,0.8103673771
516,T3,1506631,"@framie1888 @SirStevoTimothy The point is something 200 years ago, is not the reason why RoI has low population today.

Emigration is.",BorderSolution_,O,U,0,,1,,0.5143991967
517,T3,1507111,"Nonsense, Ethiopia had famine in 1980's.  Its population in a generation has trebled from 40 million in 1980's to 120 million today.

Poland lost 25% of its population in WW2, it was back up to same level in a generation

Constant emigration means population of Ireland is low",BorderSolution_,E,U,0,,0,0.0,0.8876129726
518,T4,324340,"@MariaWalshEU @Independent_ie What are ""European Values"" Maria?

And how do they differ from for example ""African Values"" or ""Asian Values"" ?

Should immigrants to Europe from those places adopt ""European Values"" on arrival?

🤔",BorderSolution_,O,P,0,Sam coded the stance as Unsure,1,,0.4163615195
519,T2,1476549,@mccleangreen @smccarthynire Yeah only a hard land border will stop them.,BorderSolution_,O,A,1,,1,,0.3189459459
520,T2,1472517,"Solution has always been simple.

Celtic Sea Border is the only option that makes any kind of sense. 

EU knew that all along but threw everything at trying to keep UK in EU with Irish Sea Border

That backfired spectacularly but EU too worried about losing face now to back CSB",BorderSolution_,NR,NR,NR,NR,0,,0.6738254696
521,T4,493216,2 Mississippi catfish farms settle suit alleging immigrants were paid more than local Black workers https://t.co/DJhSgM930b,BoSnerdley,T,U,1,,0,1.0,0.7758976445
522,T4,449769,"Blue city redirected $700,000 in Covid relief funds to illegal immigrants, probe finds https://t.co/5V7MA5XdyL",BoSnerdley,T,U,1,,0,1.0,0.742997671
523,T4,381282,Buttigieg says Trump should show solidarity with immigrants killed on Baltimore bridge https://t.co/Hoeu78Uguw,BoSnerdley,T,U,1,,0,1.0,0.6984414385
524,T4,531818,Opinion: Laken Riley's killing does reflect a broader danger. But it isn't 'immigrant crime' https://t.co/Id40Ii5lTY &gt;&gt;&lt;&gt; Liberal excuse making on parade. Don't blame illegal immigration for crimes committed by illegal immigrants is the overall take-away.,BoSnerdley,O,P,1,,1,,0.55447544
525,T3,1522275,Biden rules limit asylum as White House grapples with end of Title 42 https://t.co/2DmOLfam63,BoSnerdley,T,U,1,,0,1.0,0.6973852274
526,T3,1575999,"@GregAbbott_TX US Taxpayers are already funding 800K to 1M annually through the Legal Immigration System, then they have babies here, and Chain Migration brings the rest of the family over.

WHAT IS WRONG WITH 1M a year or less?
We can't afford this. Raising the Debt Ceiling again?

WHY?????",bratNvet,E,A,1,"no support for connection between legal immigration and debt-ceiling, and bringing family over is over-simplified",0,0.0,0.7532025109
527,T2,1287978,"@george_vrable 2. Hillary lost the Election and the Obama-Biden Policy of flooding America with Illegal Immigrants to make Whites a permanent Minority, didn't happen.

3.  It's happening NOW under President Biden after 4yrs of Trump. Obama admits 90% of his Admin are in Biden Admin. HIS Agenda.",bratNvet,F,A,1,,0,0.0,0.8396062863
528,T3,1580824,"5/9/23 Pictures posted at 4:00pm today by AP/Fernando Llano

""Here Come the Migrants""

https://t.co/rVbcoexyTM",bratNvet,O,I,1,,1,,0.3533678623
529,T3,1580511,"5/9/23:
""Report: 6K Migrants Wait in Tijuana to Rush U.S. Border as Biden Ends Title 42""

https://t.co/ltm86V24og via",bratNvet,T,A,1,,0,1.0,0.6652058324
530,T4,26842,"@TonyDelewese @BillMelugin_ @Iamahardhead No. The best aid to BP and ICE is to stop the Flow, not make it easier for them to process

Don't normalize, Illegal Immigration. 

Stop them before they enter MX and CAN, or its their problem not ours

Deport Deport Deport",bratNvet,O,A,1,,1,,0.4196481368
531,T3,1580134,"THEY ARE COMING TO YOU AMERICA: 

5/9/23  9:00pm

""150 migrants expected to cross the US border as Title 42 ends, and blue city mayors prepare for more buses""

https://t.co/3KjoSDY41X",bratNvet,E,A,1,,0,0.0,0.6270612525
532,T3,1581155,"@GregAbbott_TX @DanPatrick @KenPaxtonTX [Will they be processing all those here PLUS these 80K on their way?]

""Texas rep says Guatemalan president told him 80,000 migrants headed to border with Title 42 set to expire""

https://t.co/MgDp8QEmpQ",bratNvet,E,A,1,,0,0.0,0.6413298983
533,T3,1502773,"Border Patrol agents apprehended more than 20,000 migrants in the past two days who crossed the southwest border with Mexico between ports of entry.  https://t.co/kLecSWxWLj",BreitbartNews,T,U,1,,0,1.0,0.8797057609
534,T2,1285884,Dongguan is a manufacturing hub that is home to several factories owned by multinational companies such as Samsung and Gillette. Its new restrictions will likely affect millions of the city’s migrant workers. https://t.co/8hkb5x0Zhn,BreitbartNews,NR,NR,NR,NR,0,,0.7809794278
535,T2,1278006,The reception center on the island of Lampedusa is built to only house around 250 migrants but has once again become overloaded. https://t.co/TWoiUBPB87,BreitbartNews,T,U,0,,0,1.0,0.7049126401
536,T2,1185407,Drone video captured the images of a group of six migrants illegally crossing the border from Mexico into the Laredo Sector. Agents found them carrying large bundles of marijuana. https://t.co/vAs3g9rqYj,BreitbartNews,T,U,1,,0,1.0,0.8092328952
537,T2,1210993,Border Patrol agents found a six-year-old unaccompanied migrant child safeguarding her one-year-old cousin on the bank of the Rio Grande. https://t.co/VGVFv6c1Ld,BreitbartNews,T,U,1,,0,1.0,0.8358406619
538,T4,249425,"""We could have been saved from 9/11 if we didn't have to have the additional warrants.""

~Nancy Pelosi

(9/11 was not carried out by U.S. citizens but by immigrants who became illegal aliens when their student visas expired) https://t.co/7fP2gCiTWs",BreitbartNews,E,A,1,,0,0.0,0.7102790482
539,T2,1112197,A migrant carrying a large knife assaulted a Big Bend Sector Border Patrol agent during the arrest of a group arrest.  https://t.co/nEMBC9UxaZ,BreitbartNews,T,U,1,,0,1.0,0.7147164773
540,T4,268865,Sen. @BillHagertyTN says 20 illegal immigrants broke into a Texas rancher’s kitchen while he and wife were home and raided their kitchen. https://t.co/zYuB19hI5D,BreitbartNews,F,A,1,This person is famous for false and exaggerating claims,0,0.0,0.7624692327
541,T2,1463688,Kamala Harris’s new press secretary is apologizing for having supported enforcement of the nation’s popular immigration laws a decade ago. https://t.co/lVkAEeT70J,BreitbartNews,T,U,1,,0,1.0,0.7123774476
542,T2,1161127,Sheriff deputies from one small West Texas county found migrants smuggled via small aircraft in a departure from the typical roadways.  https://t.co/rzIY3724MC,BreitbartNews,T,A,1,,0,1.0,0.8594024529
543,T2,1262147,Border Patrol agents arrested 158 migrants crossing near this small West Texas town on Monday. The group was comprised of mostly Nicaraguan migrants who surrendered to authorities after walking up from the Rio Grande. https://t.co/9yUMDfb6Fi,BreitbartNews,T,U,1,,0,1.0,0.8656315737
544,T2,1223421,"Two illegal aliens and a legal immigrant from Cuba have been accused of operating a “massive Amazon theft ring” in Oklahoma County, Oklahoma, police charge. https://t.co/cH9aeRXHkh",BreitbartNews,T,A,1,,0,1.0,0.8197990158
545,T2,1269827,"Despite a law enforcement presence on both sides of the Rio Grande, a CBP source says more than 600 migrants were apprehended after entering the United States on Thursday. https://t.co/s8DjsJR2IO",BreitbartNews,T,A,1,https://www.cbp.gov/newsroom/local-media-release/rio-grande-valley-agents-apprehend-648-migrants-five-groups,0,1.0,0.8939642345
546,T2,1209319,"Over 37,000 migrants arrived illegally on Spanish territory between January and mid-December of this year, with Moroccan police claiming to have arrested over 11,000 trying to make the journey. https://t.co/CoAPsR6xuc",BreitbartNews,T,A,0,Theodore coded the stance as Unsure,0,1.0,0.9062013458
547,T2,1154436,Border Patrol agents apprehended more than 1.9 million migrants who illegally crossed the southwest border with Mexico between ports of entry during 2021.  https://t.co/tO51OSPVND,BreitbartNews,F,U,1,,0,0.0,0.8649115127
548,T4,481176,"@alifeofinsanity @LongTimeHistory Here's another photo of an illegal immigrant
who came to the USA illegally, settled here,
married a #nazi sympathiser and together
they spawned one of the most dangerous criminals,
grifters and rapists the United States has ever seen... https://t.co/zFZA2M0a5o",Brexit_Mistake,E,A,1,,0,0.0,0.5903274868
549,T2,1449104,"@AlexPerryAuthor @SHarr73146294 @JolyonMaugham @heather63262308 @Conservatives Jeremy Wright:
- Called to the Bar at the Inner Temple in 1996
- Specialised in criminal law in the Midlands until 2005

Suella Braverman:
- Called to the bar at Middle Temple in 2005
- Specialised in commercial litigation, judicial review, immigration and planning law until 2010",Brexit_Mistake,T,U,0,,0,1.0,0.5118417242
550,T3,1505557,"@SuellaBraverman WTF would you know about how people feel?
- you are a bigot and a rabble rouser
- only the white trash want the refugees stopped
- normal people (the majority) just want Britain to
  * comply with international treaties
  * adhere to British values
  i.e. help those in need https://t.co/8d88RdOrKo",Brexit_Mistake,E,P,0,,0,0.0,0.1533076565
