origin,Unnamed: 0,id,text,CreatedAt,author.userName,createdDate,misinformation,stance,isUSRelated,notes
T4,727679,1.78086E+18,"@Stryker175 @RepMattGaetz If you don't like refugees coming to America,

make sure their countries 
are not taken over 
by evil dictators.

This is not rocket science.",Thu Apr 18 07:06:23 +0000 2024,Jetson77,4/18/24,,,,
T3,1580637,1.65611E+18,"Tens of thousands of illegal aliens are expected to surge into the USA once Title 42 expires.

The Biden Admin has authorized Border Patrol sectors to begin a MASS RELEASE of migrants to city streets if NGO’s don't have the capacity to hold them.

Where will they go?",Wed May 10 01:40:54 +0000 2023,Jim_Jordan,5/9/23,,,,
T4,190883,1.78033E+18,"Until President Biden reverses his policies, utilizes the myriad immigration enforcement tools at his disposal, and secures the southwest border, more Americans will tragically and unnecessarily die at the hands of criminal illegal aliens who are released into the United States and allowed to remain in the country.",Tue Apr 16 20:06:22 +0000 2024,Jim_Jordan,4/16/24,,,,
T4,190885,1.78033E+18,"A Deputy Field Office Director, who previously served as Acting Field Office Director in two jurisdictions, testified to the Committee that illegal aliens who commit crimes such as larceny or theft are not immigration enforcement priorities for the Biden Administration.",Tue Apr 16 20:06:19 +0000 2024,Jim_Jordan,4/16/24,,,,
T4,190884,1.78033E+18,"A senior ICE official also testified to the Committee that increased immigration from Venezuela and the limited ability to remove illegal aliens to that country affect ICE’s ability to conduct enforcement, including arrests, detention, and removals, of Venezuelans in the United States.",Tue Apr 16 20:06:20 +0000 2024,Jim_Jordan,4/16/24,,,,
T2,1455830,1.47989E+18,"Guess it takes a while to write a report about record illegal immigration. 

https://t.co/u0ib5lERBY",Sat Jan 08 19:07:50 +0000 2022,Jim_Jordan,1/8/22,,,,
T2,1353743,1.48016E+18,"@LBC Yes top plan.  Biden could close Guantanamo and do a deal with the UK to send them here.  They would be straight into 4 star hotels with free pizzas like the rest of the chancers.  Oh sorry I meant poor desperate migrants, obviously.",Sun Jan 09 12:52:10 +0000 2022,JoanHenry7,1/9/22,,,,
T2,1448522,1.48055E+18,"@talkRADIO Now Nick,using the expression 'getting away Scot Free'  is very offensive nowadays.  It suggests Scots stealing sheep over the Border hundreds of years ago.  It doesn't get much worse than that, does it?  😆🏴󠁧󠁢󠁳󠁣󠁴󠁿",Mon Jan 10 14:38:48 +0000 2022,JoanHenry7,1/10/22,,,,
T2,1441336,1.48059E+18,"@SugnaNagol @jsinclair29 @NicolaSturgeon It's all getting out of hand.  Apparently the main part of an English Football Club is in England, but the Stand is over the border in Wales, so Wales won't let them in.  You really couldn't make it up if you put your mind to it.  I don't think even Scotland would do that.",Mon Jan 10 17:34:40 +0000 2022,JoanHenry7,1/10/22,,,,
T3,1564711,1.65625E+18,"@Iromg But the Channel migrants are not allowed to work until they're processed, and that could take years.  Of course they do work in the black market, but that's not helping the country in any way.",Wed May 10 10:40:21 +0000 2023,JoanHenry7,5/10/23,,,,
T4,491183,1.77556E+18,@NotFarLeftAtAll @philiprichards5 I used to for many years because I live in a city on the edge of the North Sea which had a large fleet.  Not any more.  They are a taxi service for illegal immigrants.,Wed Apr 03 16:28:22 +0000 2024,JoanHenry7,4/3/24,,,,
T2,1362214,1.47906E+18,Djokovic in limbo as he fights deportation from Australia https://t.co/hurfuRi6bf via @YahooNews,Thu Jan 06 11:48:43 +0000 2022,JoeBarracato,1/6/22,,,,
T3,1497923,1.65625E+18,U.S. finalizes asylum restriction to ramp up border deportations https://t.co/zWGd9j0hr2 via @YahooNews,Wed May 10 10:54:06 +0000 2023,JoeBarracato,5/10/23,,,,
T3,1537190,1.65634E+18,Biden admin to allow for the release of some migrants into the U.S. with no way to track them https://t.co/LUvj2t4IdO via @YahooNews,Wed May 10 16:39:54 +0000 2023,JoeBarracato,5/10/23,,,,
T4,256890,1.77954E+18,A controversial Texas law has become a blueprint for other states. Immigrant communities are worried https://t.co/jHN7TXP6Yf via @YahooNews,Sun Apr 14 16:08:47 +0000 2024,JoeBarracato,4/14/24,,,,
T2,1063318,1.47983E+18,Congressmen Say Biden Withholding Deportations Report To Cover Up Extent of Border Crisis https://t.co/eET9nYq2Lk,Sat Jan 08 14:45:08 +0000 2022,JohnCornyn,1/8/22,,,,
T4,280420,1.77913E+18,"More on #BidenBorderCrisis.  Now dismissing backlogged asylum cases because their own policies flooded the system.  Completely lawless.

Immigration courts are closing more cases. But some immigrants are losing out on legal residency. https://t.co/z1PRjnxm5A",Sat Apr 13 12:46:15 +0000 2024,JohnCornyn,4/13/24,,,,
T3,1567946,1.65596E+18,"In other words, resources at border are overwhelmed so migrants are  being ushered into the interior en masse even if they don’t claim asylum.  Border Patrol also lack numbers and other resources to interdict drug traffickers who are smuggling in more drugs that will kill more Americans.  One hundred and eight thousand dead last year alone.  Entirely predictable and preventable. #BidenBorderCrisis",Tue May 09 15:37:15 +0000 2023,JohnCornyn,5/9/23,,,,
T3,1564467,1.65625E+18,"Officials have been working to provide housing and services for new migrant arrivals in Chicago, New York and Washington, D.C. https://t.co/CAagx2Jv53 via @WSJ",Wed May 10 10:44:30 +0000 2023,JohnCornyn,5/10/23,,,,
T2,1194340,1.47654E+18,"Just when you thought the #BidenBorderCrisis couldn't get worse:

Biden administration seeks to end the Trump-era “Remain in Mexico” policy, which bars asylum seekers from entering the U.S. while immigration courts consider their claims https://t.co/bPUs6wdH23 via @WSJ",Thu Dec 30 13:20:50 +0000 2021,JohnCornyn,12/30/21,,,,
T4,368500,1.77757E+18,@raja17125 @RupertLowe10 Reform policy is still half a million immigrants.,Tue Apr 09 05:31:38 +0000 2024,Johnnywas25,4/8/24,,,,
T4,347015,1.77794E+18,@he1entweets @JackieD86388657 The largest number of visa immigrants recently thanks to Boris making it easier were international students who contributed over 40 billion pounds to the UK economy in 2022.  And each visa holder pays a £1000 a year towards their NHS usage up front as part of their visa costs.,Wed Apr 10 05:58:41 +0000 2024,Johnnywas25,4/9/24,,,,
T4,307420,1.77866E+18,"@SusanEacock @BorisJohnson And he was quite keen to grant amnesty to illegal immigrants, you know make them legal after all 

https://t.co/SdAD7T964y",Fri Apr 12 05:25:04 +0000 2024,Johnnywas25,4/11/24,,,,
T2,1106340,1.47948E+18,@decofselfdet @LozzaFox And what about the UK trying to block the international right (under international law) to claim asylum that people landing on the beach have.  Guess you're in favour of those asylum seekers then?,Fri Jan 07 15:48:16 +0000 2022,Johnnywas25,1/7/22,,,,
T4,428501,1.77658E+18,@DazzerBrit @reformparty_uk Nobody is going do mass deportations of legal immigrants.  Never going to happen.  And if you're after getting rid of asylum seekers that would get rid of about 2% of current immigration.,Sat Apr 06 11:47:50 +0000 2024,Johnnywas25,4/6/24,,,,
T4,70621,1.78139E+18,"@bb247link @tomhfh @BorisJohnson @10DowningStreet And long before that he had dropped massively in the polls, before the public got a chance to realise Boris' policies had raised immigration to record levels",Fri Apr 19 18:41:06 +0000 2024,Johnnywas25,4/19/24,,,,
T3,1504078,1.65601E+18,"""I'm not gonna turn myself in"" -- but I'm sure he'd attend all immigration court hearings and, if ordered removed, quickly report to the nearest ICE field office for deportation. Such a joke.",Tue May 09 18:46:10 +0000 2023,JonFeere,5/9/23,,,,
T3,1570489,1.65643E+18,"Fun Fact: There have been zero immigration-related tweets from Jeb Bush, Liz Cheney, or Paul Ryan this year. https://t.co/MhruCdo7xB",Wed May 10 22:39:54 +0000 2023,JonFeere,5/10/23,,,,
T2,1072993,1.47919E+18,"The word ""amnesty"" is a much more concise way of writing ""parole status with temporary work authorization and protection from deportation""",Thu Jan 06 20:23:37 +0000 2022,JonFeere,1/6/22,,,,
T4,351643,1.78074E+18,"NEW: The Biden admin has appointed anti-ICE activist Michelle Brane to run DHS's ""Detention Ombudsman"" office. She's said that if we don't let illegal aliens commit some crime before being deported, it's a ""police state"". It was in reference to ICE Director @RealTomHoman explaining in 2017 that illegal aliens are fully deportable, and that it's too late for victims if we let them stay in the country long enough to commit acts of violence. In other words, we should deport illegal aliens at the first available opportunity for violating immigration laws. But Ms. Brane doesn't agree, apparently preferring that we let foreigners violate our immigration laws AND commit some assaults, rapes, or homicide before being deported; effectively, she doesn't believe immigration laws are legitimate. Now she's in a key position at DHS.  https://t.co/EpQYCpcNyu; https://t.co/pn4WzGsUmL",Wed Apr 17 23:40:41 +0000 2024,JonFeere,4/17/24,,,,
T3,1491200,1.65642E+18,"Simply enforcing immigration laws incentivizes people to enter the United States lawfully. But the Biden admin has exempted most illegal aliens from ICE arrests, gutted ICE deportations, gutted worksite enforcement, stopped issuing fines to aliens ordered removed, and on and on.",Wed May 10 21:51:15 +0000 2023,JonFeere,5/10/23,,,,
T2,1236585,1.4795E+18,"@dave24144975 @mgt_coull26 @ActivePatriotUK Every illegal immigrant is stealing from the UK.
This absolutely boils my p**s.",Fri Jan 07 17:14:52 +0000 2022,JoyousCivic,1/7/22,,,,
T4,603655,1.78129E+18,@YorksRose_84 Mass deportations are required.,Fri Apr 19 11:51:36 +0000 2024,JoyousCivic,4/19/24,,,,
T4,129355,1.78092E+18,"@andreajenkyns Great news, can we add the cost of legal immigration to the debate too.....?",Thu Apr 18 11:27:39 +0000 2024,JoyousCivic,4/18/24,,,,
T3,1586600,1.65637E+18,"@LBC Stop the boats.
Deport all illegal immigrants.
No amnesty for the illegal immigrants already here.",Wed May 10 18:44:03 +0000 2023,JoyousCivic,5/10/23,,,,
T4,627554,1.7809E+18,@KingBobIIV I'd start mass deportations.,Thu Apr 18 09:45:17 +0000 2024,JoyousCivic,4/18/24,,,,
T2,1455381,1.47991E+18,"Vice President @KamalaHarris’s communications director this week apologized for a tweet he wrote 12 years ago in which he suggested that immigration officials should arrest two illegal immigrants appearing on television.

#JustTheNews
https://t.co/SEMUMYWGPs",Sat Jan 08 20:03:42 +0000 2022,JustTheNews,1/8/22,,,,
T4,290138,1.77894E+18,Watch:   Ben Bergquam: Anti-American illegal immigrants are flooding across our border  https://t.co/uL634wHpdC,Sat Apr 13 00:03:56 +0000 2024,JustTheNews,4/12/24,,,,
T4,455304,1.77607E+18,Illegal immigrant allegedly murders wife in front of their children  https://t.co/H4kE0hgZKo,Fri Apr 05 02:24:52 +0000 2024,JustTheNews,4/4/24,,,,
T3,1493425,1.65633E+18,Kansas City considers becoming sanctuary city for transgender treatments  https://t.co/qxtUuHEuzi,Wed May 10 16:05:29 +0000 2023,JustTheNews,5/10/23,,,,
T4,670224,1.77475E+18,"Elon Musk, Ilhan Omar spar on X over report Biden might issue green cards to certain migrants https://t.co/ZhUptOis5B",Mon Apr 01 10:55:58 +0000 2024,JustTheNews,4/1/24,,,,
T2,1105824,1.47889E+18,"Go get em Priti... 😂

The landmark #BordersBill will bring about the fundamental change needed to control illegal migration.

I won't be deterred from doing what is right by the British people 🇬🇧

From my speech 👇🏽
#NewPlanForImmigration https://t.co/jHJ2C1Ddru",Thu Jan 06 01:01:13 +0000 2022,Justice_forum,1/5/22,,,,
T2,1424020,1.48048E+18,Mon 10 Jan: French Navy support vessel Flamant well inside UK territorial waters at 5.20am this morning shadowing dinghies with illegal immigrants on board. https://t.co/j7C227BYX1,Mon Jan 10 09:54:49 +0000 2022,Justice_forum,1/10/22,,,,
T2,1141774,1.47803E+18,"Home Office has 'all but given up' on striking a new deal with France to tackle Channel migrant crossings before the French presidential election in April 2022.

Thought Patel had a deal or was this all pie in the sky from the liar Tories?

https://t.co/VGYIp6uzyo",Mon Jan 03 15:27:41 +0000 2022,Justice_forum,1/3/22,,,,
T2,1249490,1.47368E+18,"Migrants are disposing of their passports, identity documents and mobile phones before being picked up by Border Force and the RNLI.

This is illegal entry to the UK by deception and should be dealt with by imposing custodial sentences followed by immediate deportation. https://t.co/f7NBjtKvRu",Wed Dec 22 15:36:45 +0000 2021,Justice_forum,12/22/21,,,,
T2,1276784,1.47875E+18,"The usual immigrant-loving suspects demonstrating in London against the #NationalityAndBordersBill due to be read in the House of Lords at 3pm.

https://t.co/977c8kVUvW",Wed Jan 05 15:25:00 +0000 2022,Justice_forum,1/5/22,,,,
T4,458914,1.77602E+18,"Somalian immigrant strangles his heavily pregnant girlfriend to death in suspected honour killing in Sweden 'because his mother wouldn't approve of him dating a ""white"" girl from a different culture'.

https://t.co/NG74ORdqj2",Thu Apr 04 22:38:04 +0000 2024,Justice_forum,4/4/24,,,,
T2,1423809,1.48048E+18,"Mon 10 Jan: HMC Searcher and BF Hurricane are also out in the Channel this morning as an armada of illegal immigrants heads for the UK.

Patel and Johnson really need to get this fiasco sorted out! https://t.co/0q0KPpxMtb",Mon Jan 10 10:05:40 +0000 2022,Justice_forum,1/10/22,,,,
T2,1167784,1.4768E+18,"Thur 30 Dec: This was the poor refugees at a migrant camp in Calais attacking the French Gendarmerie with sticks and stones.

https://t.co/vQNeh9HxNh",Fri Dec 31 06:32:04 +0000 2021,Justice_forum,12/30/21,,,,
T4,161843,1.78093E+18,"The leftist House of Lords has delayed the passing of the government's Rwanda bill yet again in an attempt to stop planes deporting illegal immigrants to the country.

https://t.co/gDWtJ8wqBj",Thu Apr 18 12:20:33 +0000 2024,Justice_forum,4/18/24,,,,
T2,1464833,1.47956E+18,"@KilclooneyJohn Ireland better watch out, half its population are working in and depend on the UK for a living. A change to the Immigration and Social Security Co-ordination (EU Withdrawal) Act 2020 could change that overnight.",Fri Jan 07 21:16:39 +0000 2022,Justice_forum,1/7/22,,,,
T2,1283750,1.47253E+18,"Sun 19 Dec: Rescue services put at risk by crazed migrants this morning. 

Rescue helicopter 163 had to fly in 0 visibility after five migrants jump from a boat into the Channel. 

Dungeness RNLI then picked up the illegal immigrants just after 7am.

https://t.co/KMBjGvFtjz https://t.co/g7aTJInrjS",Sun Dec 19 11:50:27 +0000 2021,Justice_forum,12/19/21,,,,
T2,1353101,1.48018E+18,"French police evacuated 100 migrants from an illegal camp at La Dique Royale in Sangatte last week. 

During the operation, 4 dinghies and 3 outboard motors were also recovered. The migrants were taken to reception centres far away from Calais. https://t.co/djbRyNYXlQ",Sun Jan 09 14:07:28 +0000 2022,Justice_forum,1/9/22,,,,
T2,1193275,1.47658E+18,"Iraqi bomber Emad al Swealmeen pretended to be Syrian and claimed to be a Christian in order to improve his chances of achieving asylum in the UK. Ultimately however, he was refused the right to stay in the UK but was never deported.

https://t.co/5629XzKkpS https://t.co/Dp5kylSjMV",Thu Dec 30 15:28:05 +0000 2021,Justice_forum,12/30/21,,,,
T2,1176847,1.47734E+18,"People have to remember that Tony Blair's wife Cherie Booth has been earning a fortune for years defending asylum seekers in deportation appeals and other Human Rights issues.

https://t.co/SznEMHNjeq https://t.co/HaxPxjjXv6",Sat Jan 01 17:53:16 +0000 2022,Justice_forum,1/1/22,,,,
T2,1141903,1.47802E+18,Mon 3 Jan: French CRS taking down a migrant camp on the outskirts of Calais. This camp was being used by migrants attempting to cross the English Channel on lorries via the Channel Tunnel. https://t.co/u0pW38J92F,Mon Jan 03 15:16:39 +0000 2022,Justice_forum,1/3/22,,,,
T2,1141785,1.47802E+18,This the French Gendarmerie's latest toy in their attempts to run rings around migrants on the Calais beaches. Let's hope they don't come unstuck on those sands! 😂 https://t.co/9VwykJ5oUC,Mon Jan 03 15:22:08 +0000 2022,Justice_forum,1/3/22,,,,
T2,1353181,1.48018E+18,Calais : Migrants causing more trouble for lorries attempting to reach the docks after migrants set up 4 blockades over two nights. https://t.co/tn0aUmOWwL,Sun Jan 09 13:53:17 +0000 2022,Justice_forum,1/9/22,,,,
T2,1154866,1.47742E+18,New Year's Eve. One person is critical in ICU after migrant brawl in the middle of Calais. These are the thugs Boris Johnson and Priti Patel are allowing into the UK. https://t.co/ZmwzCHTfxm,Sat Jan 01 23:19:10 +0000 2022,Justice_forum,1/1/22,,,,
T2,1380624,1.47921E+18,"London-based Calais migrant charity to close as funding is cut.

https://t.co/ot0nUFuoVA",Thu Jan 06 21:48:14 +0000 2022,Justice_forum,1/6/22,,,,
T2,1239343,1.47947E+18,Fri 7 Jan: Coastguard Rescue 189 out in the English Channel this afternoon searching for dinghies containing illegal immigrants. https://t.co/cEmupcYGXk,Fri Jan 07 15:06:25 +0000 2022,Justice_forum,1/7/22,,,,
T2,1306280,1.47772E+18,Every one of the illegal immigrants who crossed the Channel has been caught grooming children. This is new the England that Boris Johnson and the Tories have created for us. https://t.co/GrO3Rtyl6E,Sun Jan 02 19:09:56 +0000 2022,Justice_forum,1/2/22,,,,
T2,1167788,1.4768E+18,"Several French police officers injured, some seriously, after they were attacked by a stone throwing migrant mob at a camp near Calais. https://t.co/FvvUe7ot9l",Fri Dec 31 06:27:32 +0000 2021,Justice_forum,12/30/21,,,,
T4,595911,1.77634E+18,"A Colombian illegal alien was charged with the rape of a minor in Massachusetts. Due to the city being a sanctuary city, he was released by local authorities despite ICE’s request to hold him. 

He's back in federal custody. 

Democrats destroy everything they touch or try to.",Fri Apr 05 19:53:49 +0000 2024,KamVTV,4/5/24,,,,
T3,1532757,1.6563E+18,"Most illegals crossing into Texas “seeking asylum,” which is at a record high of 10,000 a day, are individual males. 

The Tucson sector is seeing individual males with no families and children as well.",Wed May 10 14:17:06 +0000 2023,KamVTV,5/10/23,,,,
T4,532254,1.77487E+18,"The immigrant population has surpassed 51.4 million people in February

The total foreign-born population has grown by 6.4 million since Joe Biden took office—larger than the population of 33 states.

 https://t.co/zpmDAkd9f0",Mon Apr 01 18:53:53 +0000 2024,KamVTV,4/1/24,,,,
T4,569569,1.77997E+18,"The mayor of New York City is STILL blaming Texas for the chaos caused by illegal aliens in his sanctuary city.

Guess who secretly approved sending 33,000 illegals there? Find out below… https://t.co/m56RXzUW2N",Mon Apr 15 20:10:16 +0000 2024,KamVTV,4/15/24,,,,
T3,1506537,1.65641E+18,A memo from 2022 released shows Biden’s admin plan for the mass release of migrants into the United States once Title 42 expired. How they planned to release the migrants/illegals into the country.,Wed May 10 21:21:02 +0000 2023,KamVTV,5/10/23,,,,
T2,1364358,1.47778E+18,"@BuranGeoff @lenmyho @nycnftm @POTUS Immigration is not a new problem. DACA, immigration needs to be addressed with labor laws that give these people a voice. I love Unions.
Four years of total control, Republicans Failed.
Let's get at this Democrats. 
Had bipartisan legislation, killed by the filibuster.",Sun Jan 02 22:55:04 +0000 2022,KeithBu83058454,1/2/22,,,,
T2,1364061,1.47811E+18,"@marylap64233025 @POTUS We do and did.
Joe wants to fix this. He needs our help.
Call, write, visit and tell your representatives what you need.
Reform The filibuster or Kill it.
Voters Rights - Campaign Finance / Ethics Reform.
Build Back Better.
Immigration-DACA,""path to"".
And On.",Mon Jan 03 20:59:56 +0000 2022,KeithBu83058454,1/3/22,,,,
T2,1364058,1.47812E+18,"@HunterJCullen @sharonflink @AP HELL YEA !!
Voters Rights
Build Back Better
Immigration / DACA
Stiden Loans...",Mon Jan 03 21:53:59 +0000 2022,KeithBu83058454,1/3/22,,,,
T2,1284114,1.47228E+18,"@LMooney15235681 @GOPChairwoman True , however they were not seeking asylum. 
Those wishing to clam asylum had a court to hear them.
Where can people be heard at the southern boarder.
My point was resources were in place. 
Where are the resources at the southern boarder ?
A wall now being built by Texas ?",Sat Dec 18 19:14:13 +0000 2021,KeithBu83058454,12/18/21,,,,
T2,1304991,1.47777E+18,"@BuranGeoff @lenmyho @nycnftm @POTUS No, it will not-ID is required. Yes, reduced times and places to vote. No, we are responsible for our vote. No, illegal immigrants can not vote. registering would cause their deportation.
Although, New York may be considering this, for local issues.",Sun Jan 02 22:28:58 +0000 2022,KeithBu83058454,1/2/22,,,,
T4,141446,1.78078E+18,"@CenterlineAmer The two party's have come together on immigration at least twice only to have someone say ,""I Filibuster"", and with out a further word, it is killed.
Reform The Fuilibuster !
Voters Rights !
Please Vote Blue !",Thu Apr 18 02:16:04 +0000 2024,KeithBu83058454,4/17/24,,,,
T2,1243882,1.4742E+18,"Here are 10 ways your support of the Asylum Seeker Resource Centre actually made the lives of people seeking asylum better in 2021. From the bottom of my heart, thank you 💕 https://t.co/RFx0goys8Q",Fri Dec 24 02:19:56 +0000 2021,Kon__K,12/23/21,,,,
T4,655604,1.7804E+18,"The Government needs to know that Australians reject its Entry Ban and Deportation Bill, before it goes to a vote in the Senate. Join the @ASRC1 calling party this Thursday to help #StopTheBill. 

https://t.co/gwDtqubxV7 https://t.co/K9I1r3xN84",Wed Apr 17 00:40:31 +0000 2024,Kon__K,4/16/24,,,,
T2,1300141,1.47131E+18,"There’s no one seeking asylum who wants to walk through this door behind me. They don’t want to come to @ASRC1 asking for food/aid. They want to stand on their own 2 feet but the Morrison Gov forces them into poverty. Help us do what they refuse to, donate https://t.co/DiB8kpJdWX https://t.co/9JglLzEkrU",Thu Dec 16 02:28:25 +0000 2021,Kon__K,12/15/21,,,,
T4,652104,1.78048E+18,Help stop Gov Entry Ban &amp; Deportation Bill (similar to Trumps Muslim Ban Bill) It would ban refugees from entry to Australia from dozens of countries &amp; allow refugees to be sent back to places where they could face death. Join on zoom Thursday to call MPs👉🏼https://t.co/gwDtqubxV7 https://t.co/YHgNHLsFtg,Wed Apr 17 05:56:52 +0000 2024,Kon__K,4/16/24,,,,
T4,653842,1.78043E+18,Labor’s deportation bill will only create an endless roundabout between immigration detention and prison | Sanmati Verma and Laura John | The Guardian https://t.co/up6GZ3uzHY,Wed Apr 17 02:36:36 +0000 2024,Kon__K,4/16/24,,,,
T2,1278293,1.47268E+18,I want to lose my job. I want to put the Asylum Seeker Resource Centre out of business and close it’s doors. That’s when I know we’ve truly succeeded. Help me achieve this as quick as possible by donating to us today: https://t.co/DiB8kpJdWX https://t.co/5GVJY1GPA7,Sun Dec 19 21:27:43 +0000 2021,Kon__K,12/19/21,,,,
T4,809293,1.78008E+18,"‘A great heart’: Sydney’s Ahmadiyya Muslim community mourn Faraz Tahir, killed in Bondi knife attack while protecting others from harm, on his first day on the job. Had recently come to Australia as a refugee. Devastating.  https://t.co/08FT6DYuhW",Tue Apr 16 03:33:34 +0000 2024,Kon__K,4/15/24,,,,
T2,1300204,1.4713E+18,"The @ASRC1 are so proud of our partnership with @RMIT and how it is transforming the futures of people seeking asylum. 

An RMIT University project is giving asylum seekers a chance to transform their lives https://t.co/h4rOertZB5 via @SBSNews",Thu Dec 16 01:48:14 +0000 2021,Kon__K,12/15/21,,,,
T2,1309046,1.47761E+18,"'I will compliment you on the widest spread of different issues without data to back them up.'

@Matthew_Wright was taken aback by this caller, who listed reasons why Indian immigrants 'are a good thing' for the UK. https://t.co/SHIdiss0xi",Sun Jan 02 11:43:40 +0000 2022,LBC,1/2/22,,,,
T4,607532,1.78195E+18,"""£8million a day to house asylum seekers in hotels...could've built a processing centre by now."" 

@Matthew_Wright previews the Rwanda bill debate as it is set to return for voting in Parliament tomorrow, with Rishi Sunak saying 'we must get it through'. https://t.co/xKHxo8Rbml",Sun Apr 21 07:51:49 +0000 2024,LBC,4/21/24,,,,
T3,1547233,1.65631E+18,"'She sounded like a really pleasant bigot - a racist!'

@ShelaghFogarty hears from these passionate callers with conflicting opinions on the integration of migrants in the UK. https://t.co/p4DzY3dLWF",Wed May 10 14:52:44 +0000 2023,LBC,5/10/23,,,,
T2,1430096,1.48045E+18,"'Djokovic has won the battle, but might still lose the war!'

Journalist Paul Karp says the Australian immigration minister could use a separate power to personally cancel Novak Djokovic's visa which could have serious knock-on impacts on the tennis star.

@NickFerrariLBC https://t.co/LGpVCPjJPx",Mon Jan 10 07:47:06 +0000 2022,LBC,1/9/22,,,,
T3,1523590,1.65629E+18,"Two teens have been jailed for life for murdering an Afghan refugee in west London in a case of mistaken gang identity, after his family fled the Taliban when his father was killed
https://t.co/Z2puiZy0Pc",Wed May 10 13:46:50 +0000 2023,LBC,5/10/23,,,,
T2,1466661,1.48034E+18,"19,000 illegals were arrested along the southwest border in the first 8 days of 2022.
 
New year, same border crisis.",Mon Jan 10 00:56:43 +0000 2022,Lancegooden,1/9/22,,,,
T4,190602,1.78033E+18,"The NGO that is encouraging illegal aliens to vote for Joe Biden is linked to Alejandro Mayorkas.

Now we know why Mayorkas refuses to enforce federal immigration law.

Mayorkas is doing the bidding of the open borders lobby, and that's why the Senate must convict him!",Tue Apr 16 20:15:20 +0000 2024,Lancegooden,4/16/24,,,,
T3,1570279,1.65643E+18,"New York City.
Chicago.
Washington, DC.

Get ready for more illegal immigrants. 

Don't blame Republicans, blame the invasion at the border that Joe Biden allowed to happen.",Wed May 10 23:00:15 +0000 2023,Lancegooden,5/10/23,,,,
T4,533751,1.77485E+18,"Break immigration laws, storm the border, assault National Guard troops, and get released from jail.

Illegal immigrants are above the law in Joe Biden's America.

President Trump can’t come back soon enough!",Mon Apr 01 17:12:28 +0000 2024,Lancegooden,4/1/24,,,,
T2,1285772,1.47849E+18,"Democrats will mandate the vaccine on 5-year olds before adult illegal immigrants.

Let that sink in for a moment.",Tue Jan 04 22:24:55 +0000 2022,Lancegooden,1/4/22,,,,
T2,1261972,1.47356E+18,You seem to be confusing economic migration with asylum seeking.,Wed Dec 22 07:36:43 +0000 2021,LaurenceTheBird,12/21/21,,,,
T4,41317,1.78174E+18,"Immigration is NOT a human right nor any other kind of right.
I really think you need to be heading home son and helping your own community because it seems you have some very interesting ideas. #Repatriate",Sat Apr 20 17:48:52 +0000 2024,LaurenceTheBird,4/20/24,,,,
T4,166081,1.78086E+18,This naive immigrant presumes a level of familiarity with Northern folk to which he is not entitled. He seems to think everyone loves him because he is an African with a put-on Dublin accent. There was a similarly naive man called Nairic several years ago....,Thu Apr 18 07:39:21 +0000 2024,LaurenceTheBird,4/18/24,,,,
T2,1261381,1.47358E+18,"You really don’t seem to understand the difference between #EconomicMigrants and #AsylumSeekers. If someone comes here to work, they apply for a visa. If someone comes here for asylum, they are guests of the nation until their case is heard and the facts verified.",Wed Dec 22 09:20:34 +0000 2021,LaurenceTheBird,12/22/21,,,,
T4,107372,1.78106E+18,"@NewstalkFM And remember folks, immigration has no impact on resources",Thu Apr 18 20:45:10 +0000 2024,LaurenceTheBird,4/18/24,,,,
T3,1503266,1.65642E+18,@patsypixie2 We need to weed out folk who are against the UK. Maybe sack the person who gave them the title. Any Lords who wants illegal migrants here judge by what the seem to do to women. Isn't fit for the job. Also odd; gay folk aren't liked by folk we are importing; so why.,Wed May 10 21:45:21 +0000 2023,LesTodd10,5/10/23,,,,
T3,1526867,1.65498E+18,@mbga_uk We will accept them for asylum MP's and celebs will block deportation. Go figure.,Sat May 06 22:26:35 +0000 2023,LesTodd10,5/6/23,,,,
T3,1490808,1.65642E+18,@dave24144975 TBF should be an immediate deportation; why a pamper prison?,Wed May 10 22:15:07 +0000 2023,LesTodd10,5/10/23,,,,
T4,566334,1.78195E+18,@ukmedicx The same folk who block deportation; who go on to rape. hence causing the rapes? murders etc. all looking for a pay off gong. rape gongs? must be the worse kind of gong.,Sun Apr 21 07:52:32 +0000 2024,LesTodd10,4/21/24,,,,
T3,1502572,1.65605E+18,@Sidubois70 New Labour; Deportation Centres. Name them the country they get deported to.,Tue May 09 21:35:49 +0000 2023,LesTodd10,5/9/23,,,,
T3,1532987,1.65449E+18,@mbga_uk Border farce keep letting them in; wonder why they fight deportation. New passport every time they enter. CS rubber stamp company?,Fri May 05 14:16:23 +0000 2023,LesTodd10,5/5/23,,,,
T4,733106,1.78107E+18,@cholatera to rid them of even more migrants? if you have them unemployed why would they want them. so would send them here; but know they would only be migrants.,Thu Apr 18 21:20:52 +0000 2024,LesTodd10,4/18/24,,,,
T2,1464461,1.4802E+18,@JimMFelton Doubt if any are refugees TBF; else why is all the countries gone though unsafe like EU? Most countries have tents but judges here say hotels required. Repatriation required; or lets make these places as hostile &amp; stop trading with them. Investigate why EU is hostile to.,Sun Jan 09 15:38:06 +0000 2022,LesTodd10,1/9/22,,,,
