origin,Unnamed: 0,text,author.userName,misinformation,stance,isUSRelated,notes,opinion_label,true_label
T3,1516500,"@csomalian @Refugees Do no depending upon the Corrupted organization of the UNHCR UNHCR across #INDIA.

@UNmigration  @IOMatUN  @JoeBiden  @POTUS  @FLOTUS  @DrBiden  @VP  @Ilhan  @RepJayapal @JustinTrudeau @HonAhmedHussen @narendramodi @AmitShahOffice  @AmitShah @RahulGandhi https://t.co/wcHxDs1dgs",csomalian,O,A,0,,1,
T4,372809,"@philipnolan1 Not to mention that all immigrants coming to Ireland need to be ""deprogrammed"" because they've been brainwashed and infiltrated by ISIS.",culladgh,F,A,0,,0,0
T3,1541132,@Fitzydub @rtenews Denying children seeking asylum 4 euro a day Paul? And you want to send them home? Do you care about children Paul? Or are you just this wicked?,culladgh,E,P,0,,0,0
T4,492985,"@Fitzydub @griptmedia I read this and I cannot help but think that you would feel very different if it was an immigrant defending themselves from you and your racists pals. I know it, you know it and the baby Jesus knows it.",culladgh,O,P,1,,1,
T2,1479578,"@mark_omahony1 Covid19 aside, traveling to the states.

ESTA Visa
Immigration questions, scan fingerprints, iris scan and photo taken.

Throw in covid rules.

I suppose Dublin Airport is like North Korea.",culladgh,E,P,0,Mia coded the stance as Unsure,0,0
T2,1271367,November 2021 Immigrant Visa Statistics show only 16 #DV2022 visas issued worldwide in that whole month. https://t.co/L8ZYiyiRvh https://t.co/7olIZ5p0xa,curtismorrison,T,I,1,,0,1
T2,1375252,Note: the only reason we’re having to brief this motion is because the anti-Immigrant Biden Administration continues to refuse to issue immigrant visas to family members of US citizens and green card holders.,curtismorrison,F,P,1,refuse and anti-immigration is an exaggeration. Check Biden immigration policies,0,0
T4,502037,"Just found out that an Assistant US Attorney who defends @StateDept in lawsuits filed by immigrant families works in the criminal division, and not the civil division. Feels sketch.",curtismorrison,O,A,1,,1,
T4,151019,Let's Talk Immigration - E74 https://t.co/zBVjGuAdqu,curtismorrison,T,P,1,,0,1
T4,518897,"Reflecting on how 3 months of the ""Year of the Immigrant Visa"" have gone by but @StateDept has yet to announce it exists, except to AILA.
https://t.co/FBzcVLPJdr https://t.co/Q91LRlQaRE",curtismorrison,T,P,1,,0,1
T2,1169724,Priti reveals plans to target eco-mob and asylum fix in 2022 https://t.co/aTsPKnoMEz,Daily_Express,T,U,0,,0,1
T2,1118538,"Migrant crossings 2021 data in full as Channel trips increase threefold
https://t.co/yIlCXDrjhv https://t.co/QQNslEFqth",Daily_Express,T,U,0,,0,1
T2,1175217,"Migrant crisis: 'Large stone unturned' in fight against smugglers – Boris told to act

https://t.co/5gZOCUNQnf https://t.co/MrZnJPkegO",Daily_Express,T,U,0,,0,1
T2,1173830,Not this hard on terrorists or migrant traffickers' Macron brutally shut down over curbs https://t.co/vcmRI1RBO0,Daily_Express,E,A,0,,0,0
T2,1248007,"Plea to ‘toughen asylum laws’ after more migrants attempt to cross Channel

https://t.co/c7Eevmo5U2",Daily_Express,T,A,0,,0,1
T3,1580662,"🚨EXCLUSIVE🚨 from @JennieSTaer &amp; @DRJasonPiccolo 

ICE Memo Calls For 'Rapidly Releasing' Illegal Immigrants Ahead Of Trump-Era Border Policy's End

https://t.co/XSozIJFEEG",DailyCaller,T,U,1,,0,1
T4,412656,"Blue State Public Official Reveals How Much Taxpayers Are Paying for 'Unsustainable' Illegal Immigrant Policies
https://t.co/AD9XiOr08P",DailyCaller,E,A,1,,0,0
T4,241193,"National Guard in Texas takes on illegal immigrants

 https://t.co/LQ8HEuWbGs",DailyCaller,T,A,1,,0,1
T3,1526014,Biden’s admin is restricting asylum access ahead of Title 42’s end https://t.co/D8PZRHB9FD,DailyCaller,T,U,1,,0,1
T4,456895,"Dem Mayor Defended Shielding Illegal Immigrants From ICE Days After Laken Riley Murder, Emails Show https://t.co/cXaCHDwLkn",DailyCaller,T,A,1,,0,1
T4,532675,"@ReichlinMelnick For sure, I'm just saying there's nothing surprising in their tweet. The program is targeted at four Florida heavy immigrant groups",DanielDiMartino,T,U,1,,0,1
T4,519375,@ColopyC @reason @cesarbaezc This is one of the very few agencies that is fully self funded. The vetting and processing of his application was paid by other legal immigrants paying our fees. I wish that wasn't the case and this parole process had a fee but it's not taxpayer dollars allocated by congress.,DanielDiMartino,T,U,1,,0,1
T4,518999,@MrNOVApolitico Agree and that is the same case for any immigrant from these countries and many others. That's why vetting and requiring sponsors is critical for any process. And focusing additional vetting on young unmarried men who are the overwhelming majority of criminals.,DanielDiMartino,E,U,1,,0,0
T2,1049529,At this pace there will be more people *emigrating* from America than immigrating here. This is terrible news for the shining city on a hill.,DanielDiMartino,F,U,1,,0,0
T3,1584522,"Imagine: Nuclear power, high skilled immigration, permitting reform, liberalization of zoning and housing regulations... America BOOMS",DanielDiMartino,O,I,1,,1,
T4,576358,@ReichlinMelnick They're running out of people and will eventually be totally depopulated due to low fertility and emigration.,DanielDiMartino,E,A,0,,0,0
T4,634811,"😂😂😂

#LiftTheBan

Peter is seeking asylum in the UK

Peter is from the Sudan 'Say no more'

Give Peter a Christian forename rather then a Muslim name!!!

I have not seen too many Sudanese Christians make to the UK alive!!! https://t.co/FSAQpAARP0",dave24144975,O,P,0,,1,
T2,1286913,"😡😡😡

Afghan asylum seeker Rasuili Zubaidullah

Drugged, raped &amp; suffocated 13-year-old schoolgirl Leonie Walner.

Fled hundreds of miles to Dunkirk evading a pan-European manhunt before boarding a trafficker's boat to Britain &amp; then onto a luxury hotel!
https://t.co/Kl41zTSjTF https://t.co/NhcE0qyZZT",dave24144975,T,A,0,,0,1
T4,206349,"illegally trafficking immigrant boats'

The captain of an English cargo ship has accused the French navy of 'illegally trafficking immigrant boats' across the Channel to Dover.

In damning radio messages, the angry senior officer complained to the French coastguard when his vessel, Scot Pioneer, was stopped from entering Dunkirk harbour as navy vessels, including a warship, guided the traffickers' boats around his ship.

In response, the coastguard informed him that there was an 'arrangement' between the London and Paris governments for the French navy to escort migrant boats towards Britain.

The captain begins his protest by radioing the French coastguard with the words: 'I would like to report what is an illegal operation in your waters.

'This morning we witnessed a French government vessel and a French navy warship escort a boat-load of illegal immigrants across the Channel to the midway point where they handed them over to another [Border Force] ship out of Dover. It has now arrived there.",dave24144975,F,A,0,,0,0
T2,1109217,"""It has also been reported separately that al-Swealmeen attended an unnamed Liverpool mosque on a frequent basis during Ramadan last year. All of this points towards an insincere religious conversion designed to bolster al-Swealmeen’s long-standing asylum claim."" https://t.co/X9DDwkOJyD",dave24144975,F,A,0,,0,0
T2,1301322,"Not just the BBC....

It would seem both right and left wing media outlets and politicians alike are in favour of uncontrolled immigration...

Politicians/media championing illegals/asylum seekers to the detriment of their own people! https://t.co/ja4F6oes5D",dave24144975,E,A,1,,0,0
T2,1185529,"Dorset Council is looking for people from all backgrounds (can be married, single or in a partnership, from all ethnic groups and cultures)

""The majority of the young people arriving as asylum seekers are 16 or 17 years old.""

16/17 years old translated into asylum years = 18+ https://t.co/2CDxrzNoFw",dave24144975,E,A,0,,0,0
T2,1100955,"@diane_longstaff 147 staggering, and that is just the one's with asylum seekers in...",dave24144975,O,A,0,,1,
T2,1128723,"😐😐

Already booked out for 2022!

It's not refugees it's asylum seekers, those one's which the government expects to be arriving here on a daily basis.

Reservations for the historic hotel currently being used to house asylum seekers cannot be made for almost another year.

R/T https://t.co/KaBblSlEow",dave24144975,O,A,0,,1,
T2,1296968,"It seems everyone is on board with allowing economic/illegal migrants being given the right to work. 

Soon another pool of labour will be at the employers disposal more competition for jobs, I can guarantee many of these people will being fast-tracked into work!

It will happen! https://t.co/eAw1hS7UOy",dave24144975,O,A,1,,1,
T2,1092409,"Contingency accommodation

An MP has objected to a hotel in Barrow being used to house asylum seekers amid ‘community tensions’ &amp; recent ‘far-right’ activity in the town.

I would be more concerned about the people who are going to be living there, rather than people objecting! https://t.co/t4Kah6wnTa",dave24144975,T,A,0,,0,1
T2,1170438,"Headline 'Refugee'

When along she is an asylum seeker who like came here illegally...

 I managed to get a rare Sanctuary Scholarship to study an MSc in NGO and Development Management at the University of East London (UEL)...
https://t.co/k5DinqN3zj",dave24144975,T,U,0,,0,1
T2,1307190,"Cllr Arooj Shah, Leader of Oldham Council, said: ""asylum seekers have now arrived safely at a hotel in Oldham.""

I know that Oldhamers will be kind &amp; support these people, many of whom will not understand English &amp; who have had a very difficult experience before arriving here. https://t.co/RSk07Yomid",dave24144975,T,P,0,,0,1
T2,1340527,"🙄🙄🙄🙄

BBC headline image is of a young child not a TEEN!!!

Housing and support is needed for unaccompanied asylum-seeking children in Cornwall.

Cornwall Council is appealing to people who may be able to help house the 16 and 17 year olds.

So young men!!! https://t.co/8vSwcEyhqs",dave24144975,O,U,0,Mia coded the stance as Anti-immigration,1,
T4,672006,"Check out my latest video and please sub to the channel

Broken Britain Asylum Seeker Crime #uk #asylumseekers #crime #Brokenbritain #video  

https://t.co/cUQaFsz1Wc",dave24144975,E,A,0,,0,0
T2,1171507,"🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿

Some of the headlines from Scotland today!

A refugee wanting relatives to be allowed join her via family reuinifcation, a lawyer is on hand to help! 

Not enough refugees/asylum seekers in Scotland!

Another Afghan refugee/asylum seeker story😴😴😴

Links posted... https://t.co/aRt8hvsDHO",dave24144975,T,P,0,,0,1
T4,251909,What’s the cost of looking after all the illegals in this country and their family ?,DaveDyallen72,O,A,1,,1,
T3,1571283,@NickFarmer3 He will be here soon claiming asylum,DaveDyallen72,O,U,1,,1,
T4,251935,@SkyNews What’s the cost of looking after all the illegals in this country and their family ?,DaveDyallen72,O,A,1,,1,
T2,1308652,@DavidPoulden Immigrant,DaveDyallen72,O,U,1,,1,
T3,1510094,@markmaycot Deportation is what’s needed not a barge,DaveDyallen72,O,A,1,,1,
T2,1292426,"It also requires them to have at least 1 year of experience in the occupation, which it doesn't do for any other job. Yet despite requiring 1 year experience for immigrants, it won't automatically let households list that as a requirement for employment in job ads to US workers.",David_J_Bier,T,U,1,,0,1
T2,1368121,"Also, a reminder that the only reason that this is happening is because America is the only country in the world that discriminates among employment-based green card applicants based on their birthplace. https://t.co/QpVxSTwz6m",David_J_Bier,T,I,1,,0,1
T4,80427,Don't listen to CBO scores on immigration. They are worse than useless. They're more misleading than anything published by the most anti-immigrant org out there. https://t.co/pJlhtstMYO https://t.co/VCE4crMIIX,David_J_Bier,O,P,1,,1,
T2,1347525,"It's impossible for me to tell how rigorously it's enforced, but why does DOL discriminate against live-in domestic help in permanent labor certifications? It seems like one of the best ways to get a green card for an unskilled woman, yet DOL requires added justification.",David_J_Bier,E,U,1,,0,0
T2,1347518,"Reading the USCIS Policy Manual will remind you how much money is being wasted on fine distinctions of no importance whatsoever, utterly useless information that someone needs to be paid to learn just so that a few thousand immigrants can live and work in peace.",David_J_Bier,E,A,1,,0,0
T2,1290659,"I'm not asking for more, but I honestly don't get it. 200 immigrants being put in MPP won't deter anyone, and since that's the only reason for implementing MPP, it imposes gratuitous cruelties on people for absolutely no reason.  https://t.co/kRWXqJkB4x",David_J_Bier,E,P,1,,0,0
T4,75000,Driver charged in fatal car crash with @SenCortezMasto aide identified as illegal immigrant https://t.co/7an6FZi7AW https://t.co/7an6FZi7AW,dcexaminer,T,I,1,,0,1
T4,367313,WATCH: Housing program for illegal immigrants could affect market https://t.co/w6Vwx2rKHO https://t.co/w6Vwx2rKHO,dcexaminer,O,A,1,,1,
T4,302411,#EXCLUSIVE — Illegal immigrants would be banned from boarding commercial flights under GOP bill https://t.co/Jq3w1siLIN https://t.co/656GqNZsgY,dcexaminer,T,A,1,,0,1
T4,739161,Denver plan to slash police and fire department budgets to pay for migrant crisis clears first hurdle https://t.co/OeIpFZw3XY https://t.co/OeIpFZw3XY,dcexaminer,T,A,1,,0,1
T4,596360,Colorado county distances from Denver ‘sanctuary city’ policies by threatening busing companies https://t.co/SkXyYcicsH https://t.co/SkXyYcicsH,dcexaminer,T,A,1,,0,1
T2,1172434,"The Justice Department argues that the Migrant Protection program, known as ""Remain in Mexico,"" actually ""exposes migrants to unacceptable risks,""

After several appeals and lower court stays, they are now asking the Supreme Court to take up the case.

 https://t.co/CDZe57ONQr",dcexaminer,T,I,1,,0,1
T4,10321,Abbott urged to create Texas homeland security office to address border crisis https://t.co/hG023sl19s,dcexaminer,T,A,1,,0,1
T2,1158260,"The Justice Department argues that the Migrant Protection program, known as ""Remain in Mexico,"" actually ""exposes migrants to unacceptable risks,""

After several appeals and lower court stays, they are now asking the Supreme Court to take up the case.

 https://t.co/XKOvczjZ1U",dcexaminer,T,P,1,,0,1
T4,264967,Biden’s border sees nearly half a million immigrant children arrive without a parent https://t.co/EqIoytlM1N https://t.co/EqIoytlM1N,dcexaminer,T,A,1,,0,1
T3,1574487,"Gov @GregAbbott_TX showed how the state is seeking to temper a rush of migrants at the southern border late Monday evening, posting a video revealing barbed wiring strung across gaps along the border.

https://t.co/MAeirsNq4t",dcexaminer,T,A,1,,0,1
T4,114033,"Economic contributions from immigrants released into US from border may come with strings attached, experts warn https://t.co/YqEk4K8dfZ https://t.co/YqEk4K8dfZ",dcexaminer,O,A,1,,1,
T4,529269,Opposition widespread to giving illegal immigrants a child tax credit https://t.co/KXVeALs0TQ https://t.co/KXVeALs0TQ,dcexaminer,E,A,1,,0,0
T4,487043,"DeSantis suspects 'illegal parole program' doesn't communicate with states on immigrants arrival

READ: https://t.co/pK1wRvqbfK

#Ron #DeSantis #RonDeSantis #Immigrants #Border #BorderCrisis #Migrants #Left #Democrat #Republicans #US #Politics #News #Viralvideo #Explore https://t.co/NUOPfjesYF",dcexaminer,T,A,1,,0,1
T2,1434162,"WATCH: Gov @GregAbbott_TX receives National Border Patrol Council endorsement

https://t.co/MZJsxphoOn",dcexaminer,T,U,1,stance inconsistency: Sam coded as Anti-immigration,0,1
T4,79320,Driver charged in fatal car crash with @SenCortezMasto aide identified as illegal immigrant https://t.co/e5gtg9wLxr https://t.co/e5gtg9wLxr,dcexaminer,T,U,1,,0,1
T4,610123,"Facing a migrant crisis and $45M in cuts, Denver looking to spend $30M on stagehands https://t.co/plm7BtfjHA https://t.co/plm7BtfjHA",dcexaminer,T,U,1,,0,1
T4,82193,"@RepJasonSmith Former President Donald Trump, still the leader of the GOP, has not only been attacking the bipartisan immigration bill publicly; he is reportedly lobbying Republican lawmakers to kill it. So when President Joe Biden went befor",dean_dcdewitt,T,I,1,Politico source for trump attacking immigration billss,0,1
T3,1553689,"@RepTenney Fact - President Biden inherited an immigration system in tatters. The Trump administration cut off legal pathways to citizenship, leaving would-be migrants with fewer lawful methods of entering the country.",dean_dcdewitt,E,P,1,,0,0
T4,556592,"@FoxNews Most sanctuary city policies are decided not by Republicans or Democrats, but on a local level, and usually depend on the resources available to local law enforcement. A helpful example is Pennsylvania.",dean_dcdewitt,T,U,1,Neutral claim,0,1
T2,1400719,@JohnCornyn @TexasTribune You need to be working on immigration reform instead of tweeting!,dean_dcdewitt,O,U,1,,1,
T4,21603,"@RepBoebert The same MAGA Republicans who say that Congress should not approve aid to our allies until we address the border crisis…

Are the same people who just recently, under the direction of Trump, killed a bipartisan immigration bill endorsed by the Border Patrol Union",dean_dcdewitt,E,A,1,,0,0
T2,1313909,"“Italy saw more than 67,000 migrants disembark in 2021, to which were added 440 new illegal immigrants yesterday”",DFallamhain,T,U,0,,0,1
T2,1149013,"“Shock in the Czech Republic: an 18-year-old girl raped in the middle of the street and a woman stabbed by the same man on New Year's Eve, a 20-year-old migrant from Afghanistan arrested”

@HMcEntee",DFallamhain,T,U,0,,0,1
T2,1304493,"EU Observer
Denmark's former immigration minister Inger Støjberg was sentenced to 60 days in jail for separating married asylum seekers.
Then we read she issued an order “to separate married and cohabiting couples, if one of the two was deemed a MINOR.”

https://t.co/JClZ8MEruc",DFallamhain,T,U,0,,0,1
T2,1156291,"@greenshame I’m not going to get too excited about this. If the illegal immigrant has learned to splutter out ‘I seek asylum’, they will be allowed to remain.

“Four single-person cells” wouldn’t begin to solve the problem.",DFallamhain,E,A,0,,0,0
T4,737645,"“So far this year, €214m has been spent on private accommodation for asylum seekers, compared to a figure of €627m for all of 2023.”
“costs on average €76 per night”

https://t.co/tNHXakJvSe",DFallamhain,NR,NR,NR,NR,0,
T2,1165018,"“15 gendarmes hospitalized after attempt to clear encampment”

“60 gendarmes and officers of the CRS -- France’s special mobile French police force -- found themselves attacked by a group of 100 migrants”

https://t.co/gJYSxDNJ49",DFallamhain,T,A,0,,0,1
T4,668902,"@princss6 As if words don't have contextual meaning. Americans don’t need passports, green cards, citizenship applications, and vetting to MOVE to other states. They constantly seek to denationalize Black Americans.",DiazAndytwelve1,E,U,1,"no context for the statement ""They constantly seek to denationalize Black Americans.""",0,0
T4,510020,@PJenkins1931 The way immigrants attach to Blackness to further their political agenda in America 🇺🇸 is beyond comprehension.,DiazAndytwelve1,O,U,1,,1,
T4,506860,The Mexican government has abused and abandoned Mexicans for years. Biden making a deal to educate Mexican immigrants on our shores is yet another failure of Mexico to create a sustainable society for their country.,DiazAndytwelve1,E,U,1,,0,0
T2,1171312,"@CAPTaskforce The “attack” on history is part of a 3-pronged approach of Failed Reconstruction 2.0. Politics, Re-gentrification, mass immigrant influx.",DiazAndytwelve1,O,A,1,,1,
T4,533546,@HighhMeeh__ What does that mean to anyone other than Mexicans? Nothing. It symbolizes like all other immigrants that you come from a failed country.,DiazAndytwelve1,O,A,1,,1,
T4,485666,"They have enacted legislation, “rules,” and created illogical and ignorant “discourse” to propagate that disliking White Supremacy and Racism is the same as being racist. Many Black Americans have picked up this mantra and immigrants  are cheerleaders of this asinine ill-logic.",DiazAndytwelve1,E,U,1,,0,0
T4,31912,@Behembaba I read before I ever went to kindergarten and read to my mother while she cooked dinner. She has worked the crossword puzzle just about all of my life- I’m her “speller.” The AntiBlackness of immigrant bootlicks will not astound me when we know their country’s literacy rates.,DiazAndytwelve1,E,A,1,,0,0
T4,588981,"FED-UP! Chicago Resident In MAGA Hat BLASTS Dem City Council Over Migrant Plan
https://t.co/66bJ6SxwCo",DineshDSouza,O,A,1,,1,
T3,1538920,"Majority Of Employees At Child Migrant Facilities Were Not Vetted For Child Abuse Or Sex Offenses, IG Report Claims
https://t.co/O1lad9PY8v",DineshDSouza,E,A,1,,0,0
T3,1496465,"Mayor Lori Lightfoot Declares State Of Emergency As Migrants Flood Chicago's Streets – 'We Don't Have Any More Space'
https://t.co/Uo0qwxeV38",DineshDSouza,T,U,1,,0,1
T4,100320,"Chicago resident rips Chicago Mayor Brandon Johnson for requesting another $70 million in taxpayer funds for illegal immigrants in Chicago.

“We need that money in my neighborhood, we need that money on my block. So I’m asking ya’ll to use our tax money for our people, we need it,” she said.",DineshDSouza,T,U,1,,0,1
T2,1131277,"Border Patrol agent shot at from Mexico while apprehending a migrant 
https://t.co/0cF6JTXzkJ",DineshDSouza,T,A,1,,0,1
T2,1303925,"@turmelplumbing @GregAbbott_TX Lol, “asylum seekers” aren’t trying to evade apprehension whilst trekking miles through south Texas brush.  But criminals certainly are.",DJJinxman,O,U,1,,1,
T4,167808,@Johnm1291 @thevivafrei @MaxwellFrostFL What am I lying about?  how many years experience do you have enforcing immigration law?  I’ve got 15.  Perhaps you should pick up a title 8 law book and read it.  It’ll take you awhile.  Immigration law isn’t as simple as you want to believe it is.,DJJinxman,O,U,1,,1,
T2,1295475,"@Sav0ySix @TomiLahren The US allows in more LEGAL immigrants than ALL OTHER COUNTRIES in the WORLD COMBINED.  so no.  Illegal aliens DO NOT need to be here being exploited, and committing more crimes.",DJJinxman,F,A,1,,0,0
T4,187769,@KyleSkey @MilenaAmit @MaxwellFrostFL Immigration laws has ZERO to do with race and everything to do with a person’s NATIONALITY.  Learn the difference.,DJJinxman,E,U,1,,0,0
T3,1582407,"@rubizarre @cindy_timian @GregAbbott_TX “Illegals” is just a short handed version of “illegal alien”. nothing wrong with it.  There are far more derogatory terms, But I don’t care for woke euphemisms either. “Immigrants” is an entirely incorrect term.  Immigrants are people who come legally to permanently reside here.",DJJinxman,E,A,1,,0,0
T3,1529496,USCIS Providing Documents After Notice of Immigration Judge and BIA Decisions About Immigration Status | USCIS https://t.co/cSUVzGnlOx,dkbib,T,I,1,,0,1
T3,1508558,"Biden Embraces Asylum Ban, Defying Law and Public Opinion | Center for Gender and Refugee Studies ⁦@CGRS_Asylum⁩  https://t.co/YExAU1DLDn",dkbib,T,P,1,,0,1
T4,194939,Immigration law will do more harm than good; look at Postville https://t.co/L1aPo4WoLd,dkbib,E,A,1,,0,0
T4,60766,🇺🇸🗽 “REALTIME ECONOMICS: Offering more lawful pathways for US border crossings reduces unlawful crossings!” – https://t.co/OUsf6F33Xm https://t.co/aqOZpgh2zy,dkbib,T,I,1,,0,1
T4,336435,"Regretting coming to US, some Chinese immigrants return home https://t.co/RRUaMLhust",dkbib,T,I,1,,0,1
T4,311365,Ga. Judge Spikes Immigrant Voting Rights Suit Mid-Trial https://t.co/rKbrxFW1JV,dkbib,T,I,1,,0,1
T2,1256428,Asylum Victory in Denver...4 Years After Hearing! - Inside News - Immigration Law - LexisNexis® Legal Newsroom https://t.co/Wv1avwGWJu,dkbib,T,P,1,,0,1
T2,1415297,"Jan. 11, 2022 SC Oral Arg. Previews (Detention, Bond, Jurisdiction) - Inside News - Immigration Law - LexisNexis® Legal Newsroom https://t.co/QjB3gdqpQa",dkbib,T,U,1,News report,0,1
T2,1128904,"Justices Won't Review Militant Training Bar To Green Card https://t.co/sEcLbUU8Pa 
@mikelasusa",dkbib,T,U,1,,0,1
T2,1265527,"The Proper Test for Nexus (""On Account Of"") in Asylum Law: Hon. Jeffrey S. Chase - Outside News - Immigration Law - LexisNexis® Legal Newsroom https://t.co/bxREcS0FH6",dkbib,T,U,1,,0,1
T2,1299378,Internal Investigators Told ICE To Stop Sending Immigrants To A Prison In Louisiana Because Of A Culture That Can Lead To Abuse https://t.co/PpryoKFMOn via @haleaziz,dkbib,T,P,1,,0,1
T4,44462,⚖️🗽 WILLIAM &amp; MARY IMMIGRATION CLINIC NOTCHES KEY AFGHAN ASYLUM VICTORIES!🎉👏😎 – https://t.co/OUsf6F33Xm https://t.co/nRi2sSTS9t,dkbib,T,P,1,,0,1
T2,1270608,"2021 was a Dangerous Year for Migrants, Percent of Immigrants in the US Declines, ICE's Digital Surveillance Under Fire, and more. @ackocher  https://t.co/iH5BmFUOiO",dkbib,T,P,1,,0,1
T4,12879,Orange County case shows immigration system can bend toward justice - Los Angeles Times https://t.co/MZWgeJap7X,dkbib,T,P,1,,0,1
T2,1297879,"@ReichlinMelnick What is common between the 3 ? Cuban, Nicaraguan, and Venezuelan immigrants tend to vote Red. Could this be the motivation to get their asylums declined?",DoersToo,O,P,1,,1,
T4,431689,@curtismorrison Have you condemned .@AILANational when they’ve lobbied against Indian immigrants ? Hope this empathy isn’t limited to certain demographics only!,DoersToo,O,P,1,,1,
T2,1384581,@immigration_biz 10+ already. Where’s my greencard ?,DoersToo,T,P,1,,0,1
T3,1537658,"@KathleenBushJo2 @AILANational @cisombudsman @USCIS @J_Gelatt AILA will never let this happen. In fact they scare 485 EADs into retaining H1 status, knowing that they’ll stay without GC for atleast a decade. More filings, more money in pockets. AILA doesn’t care about immigrants, specially Indians.",DoersToo,F,I,1,,0,0
T2,1427326,@EspuelasVox Hate is bipartisan. You may have also read about .@SenatorDurbin ‘s town halls where he has targeted Indian immigrants,DoersToo,T,P,1,,0,1
T2,1294615,@Chrisdebrun7 @rtenews Yes it is sad to see a business going  bust. Those smart phones wiped out the Internet cafe market. Not a justification for claiming asylum.,dublincomments,T,A,0,,0,1
T4,333312,Why are we paying for these illegal immigrants to stay in Irish hotels? https://t.co/0t4bZAKemz,dublincomments,T,A,0,,0,1
T4,333322,We’re paying for these illegal immigrants / chancers to stay in Irish hotels. https://t.co/57MZXuBRHe,dublincomments,E,A,0,,0,0
T2,1306717,"@CA_Gerrard71 @Glic16 If you’re Irish you get nothing, if you lie cheat and exaggerate to stay here, or just don’t leave everything is handed to you. What use is citizenship when asylum seekers (mostly ineligible i.e. bogus) are treated better.",dublincomments,E,A,0,,0,0
T4,383361,@ciarannugent Government priorities houses for illegal immigrants over houses for Irish people.,dublincomments,E,A,0,,0,0
T2,1180906,@irishpa63336258 The moneys all been spent on housing assistance payments for bogus asylum seekers. Hundreds of millions every year. It’s the biggest crime since Cromwell,dublincomments,E,A,0,,0,0
T2,1295242,@rtenews How is she ‘from Galway’ if she’s from South Africa? South Africa is a safe country. On what grounds did she claim asylum? Asylum seems a convenient route to bypass immigration rules.,dublincomments,E,A,0,,0,0
T2,1307141,@Gombeenhunter @Glic16 Was her asylum claim in Britain turned down?,dublincomments,O,I,0,,1,
T3,1501850,@SeamusjKearney What a joke. The inmates have taken over the asylum.,dublincomments,O,A,1,,1,
T4,164837,@FineGael Why would a political party want to build a community? Is that show you describe the mass immigration to Ireland? Building new communities?,dublincomments,O,A,0,,1,
T4,478506,@WyoOldBull @griptmedia @Ben_Scallan These laws are designed to protect immigrants and put native people before the courts.,dublincomments,E,A,1,,0,0
T4,151453,"@Harry76032126 @nomadicdragon13 Yet there’s 5,000 Nigerians living in direct provision (claiming asylum) 15,000 Nigerian illegal immigrants claims residence on the basis of an Irish born child so 30k including the child. How many other Nigerians have gone through the asylum system and and now living here?",dublincomments,F,A,0,,0,0
T2,1336903,"@stuartfanning1 @skydavidblevins Emigration should be discouraged. Irish emigration rates are unhealthily too high. Even the children of the establishment leave, after their taxpayer funded degrees.",dublincomments,O,A,0,,1,
T2,1207476,"@stevepcarroll @fiannafailparty @FineGael The same is true for tribunals, and the latest legal scam the asylum appeals process.",dublincomments,E,A,0,,0,0
T4,643698,"@breakingnewsie They’ll probably use that as an excuse to claim asylum here, the weather is persecuting.",dublincomments,E,A,0,,0,0
T4,182628,"@jackjaypalmer @raj_karnatak @sandy_bmcl @atalovesyou @immivoice Immigration voice, over the years has done thousands of meetings with congressmen and senators. Everyone knows about the issue. Those who say they don’t are lying. How long did it take  for 🇺🇸 to abolish slavery?",DurbinHypocrite,T,P,1,,0,1
T2,1339641,@liberty_immigrn Indian govt does shit for its citizens LIVING in India and you expect them to have a leverage in Green card backlog issue? What a joke.,DurbinHypocrite,O,U,1,,1,
T3,1499655,"Him and many Indians who died in Green card backlog had their petition approved for &gt;decade. ROW, who applied at same time got their green card and became citizens by now call us cheap labor. Root cause “national origin discrimination” in Employment GC and racist country caps.",DurbinHypocrite,O,P,1,,1,
T2,1306743,@NetraChavan1 @POTUS @VP @USCISDirector @SenateGOP @SenateDems @SenatorDurbin has proven to be a grinch time and again when it comes to legal reform for GC backlogged skilled immigrants. He hates Indians and there is NO changing his mind. See how he short changed doctors and nurses by dropping #HWRA like a hot potato…during a pandemic,DurbinHypocrite,E,A,1,,0,0
T2,1384985,This news is like a Christmas gift for @SenatorDurbin. These news give him sadistic pleasure so he continues to throw wrench in legal immigration reform by holding us at ransom. Congratulations Dick.,DurbinHypocrite,O,U,1,,1,
T2,1370635,@AILANational Any sympathy for immigrants in Green card backlog of 450 years? Or the Blood sucking leeches at @AILANational want to keep a status quo there? Huh…,DurbinHypocrite,E,A,1,,0,0
T3,1503990,@USCIS Delete “fairness” from your tweet or explain inhuman backlog in EB green card and the illegal administrative retrogression of dates for Indians.,DurbinHypocrite,O,P,1,Una coded the stance as Unsure,1,
T3,1500069,@RepSchneider @ashwin_pande99 Did the Hindu Swayamsevak Sangh talk to you about racist immigration laws that keep “legal” Indian immigrants  in centuries of EB green card backlog because of their country of birth?,DurbinHypocrite,O,P,1,,1,
